0.2% S carbon additive/calcined anthracite coal For Steel Making,250,350,20,Tons,7000.0,http://www.alibaba.com/product-detail/0-2-S-carbon-additive-calcined_1944617333.html?s=p,China (Mainland),"Rizhao Ninefine International Trading Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1944617333_0_2_S_carbon_additive_calcined_anthracite.jpg,US $250-350 / Ton ( FOB Price),
high heat Metallurgical&Foundry Coke for steelmaking,300,400,3,Metric,1200.0,http://www.alibaba.com/product-detail/high-heat-Metallurgical-Foundry-Coke-for_806101866.html?s=p,China (Mainland),"Lianyungang Deyo International Trade Co., Ltd.",http___i00.i.aliimg.com_photo_v0_806101866_high_heat_Metallurgical_Foundry_Coke_for_steelmaking.jpg,US $300-400 / Metric Ton ( FOB Price),
Higher Carbon Electric Calcined Anthracite Coal/electric calcined coal,390,980,22,Tons,21560.0,http://www.alibaba.com/product-detail/Higher-Carbon-Electric-Calcined-Anthracite-Coal_1279842825.html?s=p,China (Mainland),"Linzhang County Huaye Carbon Co., Ltd.",http___i01.i.aliimg.com_photo_v5_1279842825_1_Higher_Carbon_Electric_Calcined_Anthracite_Coal_electric.jpg,US $390-980 / Ton ( FOB Price),
Calcined Anthracite coke,270,320,10,Tons,3200.0,http://www.alibaba.com/product-detail/Calcined-Anthracite-coke_331950729.html?s=p,China (Mainland),"Qingdao Tennry Carbon Co., Ltd.",http___i01.i.aliimg.com_photo_v0_331950729_Calcined_Anthracite_coke.jpg,US $270-320 / Ton ( FOB Price),
China Reversible Coal Mill for Calcined Coal,9000,100000,1,Set,100000.0,http://www.alibaba.com/product-detail/China-Reversible-Coal-Mill-for-Calcined_1820138827.html,China (Mainland),"Luoyang Dahua Heavy Type Machinery Co., Ltd.",http___i01.i.aliimg.com_photo_v2_1820138827_China_Reversible_Coal_Mill_for_Calcined_Coal.jpg,US $9000-100000 / Set ( FOB Price),
GOOD QUALITY CALCINED ANTHRACITE COAL,200,400,20,Tons,8000.0,http://www.alibaba.com/product-detail/GOOD-QUALITY-CALCINED-ANTHRACITE-COAL_227580619.html,China (Mainland),"Beijing Shenneng Guangzheng Technology And Trade Co., Ltd.",http___i01.i.aliimg.com_photo_v0_227580619_GOOD_QUALITY_CALCINED_ANTHRACITE_COAL.jpg,US $200-400 / Ton ( FOB Price),
Low-volatile bitumious coal and anthracite,70,150,3000,Metric,450000.0,http://www.alibaba.com/product-detail/Low-volatile-bitumious-coal-and-anthracite_149571363.html,Ukraine,CANDO AGENCY,http___i01.i.aliimg.com_photo_v3_149571363_Low_volatile_bitumious_coal_and_anthracite.jpg,US $70-150 / Metric Ton ( FOB Price),
steel making coal anthracite,100,200,20,Metric,4000.0,http://www.alibaba.com/product-detail/steel-making-coal-anthracite_481369786.html,China (Mainland),"Dandong Zhicheng Metallic Material Co., Ltd.",http___i00.i.aliimg.com_photo_v3_481369786_steel_making_coal_anthracite.jpg,US $100-200 / Metric Ton ( FOB Price),
Low Sulfur Coal Briquette,150,230,500,Metric,115000.0,http://www.alibaba.com/product-detail/Low-Sulfur-Coal-Briquette_703797758.html,China (Mainland),"Taiyuan Diode Co., Ltd.",http___i00.i.aliimg.com_photo_v7_703797758_Low_Sulfur_Coal_Briquette.jpg,US $150-230 / Metric Ton ( FOB Price),
2014 Good quality and low price for Gas Calcined Anthracite FC:95%,280,350,20,Metric,7000.0,http://www.alibaba.com/product-detail/2014-Good-quality-and-low-price_1080356412.html,China (Mainland),"Tianjin Yue Yang Industrial & Trading Co., Ltd.",http___i00.i.aliimg.com_photo_v309_1080356412_1_2014_Good_quality_and_low_price_for.jpg,US $280-350 / Metric Ton ( FOB Price),
coking coal 93% F.C Higher quality and Lower price,270,290,20,Tons,5800.0,http://www.alibaba.com/product-detail/coking-coal-93-F-C-Higher_343882301.html,China (Mainland),"Ningxia Northsky Industry And Trade Co., Ltd.",http___i01.i.aliimg.com_photo_v1_343882301_coking_coal_93_F_C_Higher_quality.jpg,US $270-290 / Ton ( FOB Price),
FC 90%-95% Calcined Anthracite,270,350,100,Metric,35000.0,http://www.alibaba.com/product-detail/FC-90-95-Calcined-Anthracite_1671259928.html,China (Mainland),CNBM International Corporation,http___i00.i.aliimg.com_photo_v0_1671259928_FC_90_95_Calcined_Anthracite.jpg,US $270-350 / Metric Ton ( FOB Price),
AUSTRALIAN STEAM COAL 5500NAR,60,70,50000,Metric,3500000.0,http://www.alibaba.com/product-detail/AUSTRALIAN-STEAM-COAL-5500NAR_171252203.html,India,DB INTERNATIONAL,http___i01.i.aliimg.com_photo_v0_171252203_AUSTRALIAN_STEAM_COAL_5500NAR.jpg,US $60-70 / Metric Ton ( FOB Price),
carbon raiser /carbon additive/ recarburizer (Calcined Anthracite Coal),300,500,40,Tons,20000.0,http://www.alibaba.com/product-detail/carbon-raiser-carbon-additive-recarburizer-Calcined_50004797.html,China (Mainland),China Shanxi Xinghua Cun International Trading Co.,http___i01.i.aliimg.com_photo_v1_50004797_carbon_raiser_carbon_additive_recarburizer_Calcined_Anthracite.jpg,US $300-500 / Ton ( FOB Price),
Lignite (brown coal),60,63,5000,Tons,315000.0,http://www.alibaba.com/product-detail/Lignite-brown-coal-_144066815.html,Russian Federation,TC VOSTOK CO LTD,http___i01.i.aliimg.com_photo_v38_144066815_Lignite_brown_coal_.jpg,US $60-63 / Ton ( FOB Price),
Thermal / Steam Coal South Africa,0,1,50000,Metric,50000.0,http://www.alibaba.com/product-detail/Thermal-Steam-Coal-South-Africa_154363458.html,Ireland,MILLER VENTURES LIMITED,http___i00.i.aliimg.com_photo_v3_154363458_Thermal_Steam_Coal_South_Africa.jpg,US $0-1 / Metric Ton ( FOB Price),
Anthracite coal in containers,162,371,50,Metric,18550.0,http://www.alibaba.com/product-detail/Anthracite-coal-in-containers_156466924.html,Peru,AGROMUNDIAL SAC,http___i00.i.aliimg.com_photo_v2_156466924_Anthracite_coal_in_containers.jpg,US $162-371 / Metric Ton ( FOB Price),
Semi Coke high carbon low sulphur coke with good quality and best price,200,250,20,Metric,5000.0,http://www.alibaba.com/product-detail/Semi-Coke-high-carbon-low-sulphur_1612732483.html,China (Mainland),"Ningxia Wanboda Carbon & Coke Co., Ltd.",http___i01.i.aliimg.com_photo_v4_1612732483_1_Semi_Coke_high_carbon_low_sulphur_coke.jpg,US $200-250 / Metric Ton ( FOB Price),
"Indonesia, Australia and AfricaCoal NCV 3600 - 5500",45,90,30000,Tons,2700000.0,http://www.alibaba.com/product-detail/Indonesia-Australia-and-AfricaCoal-NCV-3600_157014968.html,Singapore,EASY RYDER INTERNATIONAL TRADING PTE. LTD.,http___i00.i.aliimg.com_photo_v3_157014968_1_Indonesia_Australia_and_AfricaCoal_NCV_3600_5500.jpg,US $45-90 / Ton ( FOB Price),
2013 CA factory/ Calcined Anthracite Coal factory,150.00,240.00,40,Tons,9600.0,http://www.alibaba.com/product-detail/2013-CA-factory-Calcined-Anthracite-Coal_1421266372.html,China (Mainland),"Shijiazhuang Xinshuang Trade Co., Ltd.",http___i00.i.aliimg.com_photo_v11_1421266372_2013_CA_factory_Calcined_Anthracite_Coal_factory.jpg,US $150.00-240.00 / Ton ( FOB Price),
Energy Saving Coal Powder Making Machine high production first-class quality,4000,120000,1,Set,120000.0,http://www.alibaba.com/product-detail/Energy-Saving-Coal-Powder-Making-Machine_338877917.html,China (Mainland),"Gongyi Dyan Trading Co., Ltd.",http___i01.i.aliimg.com_photo_v1_338877917_Energy_Saving_Coal_Powder_Making_Machine_high.jpg,US $4000-120000 / Set ( FOB Price),
Steam and Cooking Coal,69,69,20000,Tons,1380000.0,http://www.alibaba.com/product-detail/Steam-and-Cooking-Coal_172674392.html,Australia,GLOBAL COMMODITY (AUST) PTY LTD,http___i00.i.aliimg.com_photo_v0_172674392_Steam_and_Cooking_Coal.jpg,US $69 / Ton ( FOB Price),
0086-15188378608 Newly and druable quality briquette machine produce bulk coal,2835,3549,1,Unit,3549.0,http://www.alibaba.com/product-detail/0086-15188378608-Newly-and-druable-quality_1086398873.html,China (Mainland),"Zhengzhou Azeus Machinery Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1086398873_0086_15188378608_Newly_and_druable_quality_briquette.jpg,US $2835-3549 / Set ( FOB Price),
Steam Coal (Thermal Coal),50,100,20,Metric,2000.0,http://www.alibaba.com/product-detail/Steam-Coal-Thermal-Coal-_151569675.html,Iran (Islamic Republic of),AVIZHEH TECHNOLOGY AND DEVELOPMENT OF MIDDLE EAST,http___i01.i.aliimg.com_photo_v2_151569675_Steam_Coal_Thermal_Coal_.jpg,US $50-100 / Metric Ton ( FOB Price),
coal,80,80,50.000,Tons,4000.0,http://www.alibaba.com/product-detail/coal_123203851.html,Indonesia,P.T. UNICARE KHARISMA SAKTI INDONESIA,http___i01.i.aliimg.com_photo_v0_123203851_coal.jpg,US $80 / Ton ( FOB Price),
HOT HOT HOT SELLING Coal Briquette Punching Machine,5000,15000,1,Set,15000.0,http://www.alibaba.com/product-detail/HOT-HOT-HOT-SELLING-Coal-Briquette_1046642887.html,China (Mainland),"Zhengzhou E.P Machinery Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1046642887_HOT_HOT_HOT_SELLING_Coal_Briquette_Punching.jpg,US $5000-15000 / Set ( FOB Price),
lignite coal,730,770,3000,Square,2310000.0,http://www.alibaba.com/product-detail/lignite-coal_60032397246.html,China (Mainland),Dongguan Huipeng Sponge Products Manufacturer,http___i00.i.aliimg.com_photo_v0_60032397246_lignite_coal.jpg,US $730-770 / Cubic Meter ( FOB Price),
Anthracite Coal Briquette,260,270,20,Metric,5400.0,http://www.alibaba.com/product-detail/Anthracite-Coal-Briquette_1742892162.html,China (Mainland),"Yinghui International Trade (Dalian) Co., Ltd.",http___i00.i.aliimg.com_photo_v2_1742892162_Anthracite_Coal_Briquette.jpg,US $260-270 / Metric Ton ( FOB Price),
Steaming Coal,82,82,50000,Metric,4100000.0,http://www.alibaba.com/product-detail/Steaming-Coal_211916252.html,Colombia,JUAN RODOLFO JIMENEZ PERDIGON,http___i00.i.aliimg.com_photo_v2_211916252_Steaming_Coal.jpg,US $82 / Metric Ton ( FOB Price),
Steam Coal,55,58,50000,Tons,2900000.0,http://www.alibaba.com/product-detail/Steam-Coal_1434683521.html,Taiwan,"STARTAC INTERNATIONAL CO., LTD.",http___i01.i.aliimg.com_photo_v0_1434683521_Steam_Coal.jpg,US $55-58 / Ton ( FOB Price),
Steam Coal,40,45,40000,Metric,1800000.0,http://www.alibaba.com/product-detail/Steam-Coal_163177931.html,United Arab Emirates,NAAZ TRADING DMCC,http___i01.i.aliimg.com_photo_v0_163177931_Steam_Coal.jpg,US $40-45 / Metric Ton ( FOB Price),
"washing coal,coal washing,pulverized coal injection",180,200,1,Ton,200.0,http://www.alibaba.com/product-detail/washing-coal-coal-washing-pulverized-coal_1633039157.html,China (Mainland),"Hebei Shengsa Carbon Manufacture Trading Co., Ltd.",http___i01.i.aliimg.com_photo_v2_1633039157_washing_coal_coal_washing_pulverized_coal_injection.jpg,US $180-200 / Ton ( FOB Price),
INDONESIAN STEAM COAL (Real Producer),55,60,5000,Metric,300000.0,http://www.alibaba.com/product-detail/INDONESIAN-STEAM-COAL-Real-Producer-_50002162603.html,Indonesia,PT INKEY BERKAH ABADI,http___i01.i.aliimg.com_photo_v1_50002162603_1_INDONESIAN_STEAM_COAL_Real_Producer_.jpg,US $55-60 / Metric Ton ( FOB Price),
High Quality Steam Coal / Thermal Coal,50,100,1,Forty-Foot,100.0,http://www.alibaba.com/product-detail/High-Quality-Steam-Coal-Thermal-Coal_170654680.html,South Africa,PROMINENT EXPORT GROUP (PTY) LTD,http___i00.i.aliimg.com_photo_v0_170654680_High_Quality_Steam_Coal_Thermal_Coal.jpg,US $50-100 / Metric Ton ( FOB Price),
