alluvial coltan separating machine for fine coltan upgrading,15000,17000,1,Set,17000.0,http://www.alibaba.com/product-detail/alluvial-coltan-separating-machine-for-fine_1948065024.html?s=p,China (Mainland),Jiangxi Shicheng Mine Machinery Factory,http___i00.i.aliimg.com_photo_v0_1948065024_alluvial_coltan_separating_machine_for_fine_coltan.jpg,US $15000-17000 / Set ( FOB Price),"Place of Origin: CN;JIN
																																												; Production Capacity: 99%
																																												; Brand Name: JXSC
																																												; Condition: New
																																												; Warranty: 12 month
																																												; After-sales Service Provided: Engineers available to service machinery overseas
																																												; Type: Magnetic Separator
																																												; Voltage: 380V or as your request
																																												; Certification: TUV, CE, SGS
																																												; Power(W): 1500w
																																												; Dimension(L*W*H): 2800*800*1250
																																												; Weight: 1900kg"
COLTAN - Tantalite Ore Ta205 for sale,30000,35000,20,Metric,700000.0,http://www.alibaba.com/product-detail/COLTAN-Tantalite-Ore-Ta205-for-sale_50001946415.html,Kenya,MONTE CRISTO ENTERPRISES LIMITED,http___i01.i.aliimg.com_photo_v1_50001946415_COLTAN_Tantalite_Ore_Ta205_for_sale.jpg,US $30000-35000 / Metric Ton ( FOB Price),"Place of Origin: ZR
																																												; Shape: Lump
																																												; Model Number: Ta205
																																												; Concentrate Or Not: Non-concentrate
																																												; PACKING DETAILS: Export Package (METAL DRUMS)
																																												; PURITY: 35% OF COLTAN/TANTALITE"
Coltan ore from Rwanda. Certificated,60,60,1000,Kilograms,60000.0,http://www.alibaba.com/product-detail/Coltan-ore-from-Rwanda-Certificated_175957211.html,Czech Republic,OXYLIFE SPOL. S R.O.,http___i01.i.aliimg.com_photo_v0_175957211_Coltan_ore_from_Rwanda_Certificated.jpg,US $60 / Pound ( FOB Price),"Place of Origin: RW
																																												; Shape: Fines (Powder)
																																												; Model Number: coltan
																																												; Brand Name: tantal
																																												; Concentrate Or Not: Non-concentrate
																																												; kigali: 2tons/month"
COLTAN - Tantalit Ore,25,30,20,Metric,600.0,http://www.alibaba.com/product-detail/COLTAN-Tantalit-Ore_179763346.html,South Africa,SOLID GRASP TRADING AND PROJECTS,http___i00.i.aliimg.com_photo_v1_179763346_COLTAN_Tantalit_Ore.jpg,US $25-30 / Kilogram ( FOB Price),"Place of Origin: ZA
																																												; Shape: Lump
																																												; Concentrate Or Not: Is Concentrate"
Best16C coltan buyers in china chengdu / cobalt powder,29.0,49.5,0.1,Kilograms,4.95,http://www.alibaba.com/product-detail/Best16C-coltan-buyers-in-china-chengdu_60050377229.html,China (Mainland),"Chengdu Best New Materials Co., Ltd.",http___i01.i.aliimg.com_photo_v0_60050377229_Best16C_coltan_buyers_in_china_chengdu_cobalt.jpg,US $29.0-49.5 / Kilogram ( FOB Price),"Place of Origin: CN;SIC
																																												; Dimensions: 1.43um/-300mesh/-400mesh
																																												; Material: Co
																																												; Application: It can be used for producing metallurgical products ,such as cemented
																																												; Chemical Composition: Co:99.9%min
																																												; Shape: Spherical-like
																																												; Model Number: Best16
																																												; color: grey"
Coltan,47,47,5,Kilograms,235.0,http://www.alibaba.com/product-detail/Coltan_167973108.html,Poland,SUBELI SP. Z O. O.,http___i00.i.aliimg.com_photo_v0_167973108_1_Coltan.jpg,US $47 / Ton ( FOB Price),Place of Origin: TZ
metal coltan for sale,150,200,500,Kilograms,100000.0,http://www.alibaba.com/product-detail/metal-coltan-for-sale_646434843.html,China (Mainland),"Wuhan Huajin Co., Ltd.",http___i01.i.aliimg.com_photo_v1_646434843_metal_coltan_for_sale.jpg,US $150-200 / Kilogram ( FOB Price),"Place of Origin: BR
																																												; Material: mineral
																																												; Brand Name: HJ
																																												; Shape: irregular
																																												; Model Number: HJ886"
Coltan ore from Rwanda. Certificated,60,60,1000,Kilograms,60000.0,http://www.alibaba.com/product-detail/Coltan-ore-from-Rwanda-Certificated_50000950293.html,Czech Republic,OXYLIFE SPOL. S R.O.,http___i01.i.aliimg.com_photo_v0_50000950293_1_Coltan_ore_from_Rwanda_Certificated.jpg,US $60 / Pound ( FOB Price),"Place of Origin: RW
																																												; Shape: Fines (Powder)
																																												; Model Number: coltan
																																												; Brand Name: tantalum
																																												; Concentrate Or Not: Non-concentrate
																																												; kigali: 2tons/month"
Coltan Ta205 for sale,30000,35000,20,Metric,700000.0,http://www.alibaba.com/product-detail/Coltan-Ta205-for-sale_50001946484.html,Kenya,MONTE CRISTO ENTERPRISES LIMITED,http___i00.i.aliimg.com_photo_v1_50001946484_Coltan_Ta205_for_sale.jpg,US $30000-35000 / Metric Ton ( FOB Price),"Place of Origin: ZR
																																												; Shape: Lump
																																												; Model Number: Ta205
																																												; Concentrate Or Not: Non-concentrate"
Best16C coltan buyers in china chengdu / co powder,29.0,49.5,0.1,Kilograms,4.95,http://www.alibaba.com/product-detail/Best16C-coltan-buyers-in-china-chengdu_60050371665.html,China (Mainland),"Chengdu Best New Materials Co., Ltd.",http___i01.i.aliimg.com_photo_v0_60050371665_Best16C_coltan_buyers_in_china_chengdu_co.jpg,US $29.0-49.5 / Kilogram ( FOB Price),"Place of Origin: CN;SIC
																																												; Dimensions: 1.43um/-300mesh/-400mesh
																																												; Material: Co
																																												; Application: It can be used for producing metallurgical products ,such as cemented
																																												; Chemical Composition: Co:99.9%min
																																												; Shape: Spherical-like
																																												; Model Number: Best16
																																												; color: grey"
Coltan ore from Rwanda. Certificated,60,60,2000,Kilograms,120000.0,http://www.alibaba.com/product-detail/Coltan-ore-from-Rwanda-Certificated_50003174063.html,Czech Republic,OXYLIFE SPOL. S R.O.,http___i01.i.aliimg.com_photo_v0_50003174063_1_Coltan_ore_from_Rwanda_Certificated.jpg,US $60 / Pound ( FOB Price),"Place of Origin: RW
																																												; Shape: Mine
																																												; Model Number: tantalite coltan
																																												; Brand Name: tantalum
																																												; Concentrate Or Not: Is Concentrate
																																												; kigali: 2,5 tons/month"
