vintage sitting female mannequin,98,125,100,Pieces,12500.0,http://www.alibaba.com/product-detail/vintage-sitting-female-mannequin_631106227.html?s=p,China (Mainland),"Guangzhou Qianwan Trading Co., Ltd.",http___i01.i.aliimg.com_photo_v6_631106227_vintage_sitting_female_mannequin.jpg,US $98-125 / Set ( FOB Price),
Cheap Fiberglass Sexy White Flexible Female Mannequins,80,150,20,Pieces,3000.0,http://www.alibaba.com/product-detail/Cheap-Fiberglass-Sexy-White-Flexible-Female_1697487589.html?s=p,China (Mainland),"Dongguan ArtWing Display Technical Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1697487589_Cheap_Fiberglass_Sexy_White_Flexible_Female_Mannequins.jpg,US $80-150 / Piece ( FOB Price),
LAGO2EG White glossy beautiful girl dress display dummy for sale female mannequins,50,80,10,Pieces,800.0,http://www.alibaba.com/product-detail/LAGO2EG-White-glossy-beautiful-girl-dress_1870411310.html,China (Mainland),Changshu Shanghu Yingzi Mannequin Factory,http___i00.i.aliimg.com_photo_v3_1870411310_LAGO2EG_White_glossy_beautiful_girl_dress_display.jpg,US $50-80 / Piece ( FOB Price),
"WKID-Z Sitting children mannequins, cheap mannequin for sale",40,75,10,Pieces,750.0,http://www.alibaba.com/product-detail/WKID-Z-Sitting-children-mannequins-cheap_1488437401.html,China (Mainland),"Guilin Win Win Hanger Import & Export Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1488437401_WKID_Z_Sitting_children_mannequins_cheap_mannequin.jpg,US $40-75 / Piece ( FOB Price),
Sitting Female Realistic Mannequin Full Body (Joyce-04),50,70,10,Pieces,700.0,http://www.alibaba.com/product-detail/Sitting-Female-Realistic-Mannequin-Full-Body_60077802451.html,China (Mainland),"Suzhou Xingou Imp & Exp Trade Co., Ltd.",http___i01.i.aliimg.com_photo_v0_60077802451_1_Sitting_Female_Realistic_Mannequin_Full_Body_Joyce.jpg,US $50-70 / Piece ( FOB Price),
FRP abstract brass gold sitting female mannequin,20,50,10,Pieces,500.0,http://www.alibaba.com/product-detail/FRP-abstract-brass-gold-sitting-female_1863182965.html,China (Mainland),"Yiwu C & D Crafts Co., Ltd.",http___i01.i.aliimg.com_photo_v1_1863182965_FRP_abstract_brass_gold_sitting_female_mannequin.jpg,US $20-50 / Piece ( FOB Price),
Sitting female chrome mannequin,65,99,10,Pieces,990.0,http://www.alibaba.com/product-detail/Sitting-female-chrome-mannequin_60077227971.html,China (Mainland),Quanzhou Hexing Display Factory,http___i01.i.aliimg.com_photo_v0_60077227971_Sitting_female_chrome_mannequin.jpg,US $65-99 / Piece ( FOB Price),
detachable skin sitting make up female dummy with wig,80,120,10,Pieces,1200.0,http://www.alibaba.com/product-detail/detachable-skin-sitting-make-up-female_60066357187.html,China (Mainland),"Shenzhen Top Show Display Co., Ltd.",http___i01.i.aliimg.com_photo_v0_60066357187_detachable_skin_sitting_make_up_female_dummy.jpg,US $80-120 / Piece ( FOB Price),
model Mosaic gold mannequin,0,550,20,Pieces,11000.0,http://www.alibaba.com/product-detail/model-Mosaic-gold-mannequin_501427450.html,Hong Kong,BRITESKY COMPANY LIMITED,http___i00.i.aliimg.com_photo_v0_501427450_model_Mosaic_gold_mannequin.jpg,US $0-550 / Piece ( FOB Price),
customize big breast mannequin,80,140,50,Pieces,7000.0,http://www.alibaba.com/product-detail/customize-big-breast-mannequin_1876986565.html,China (Mainland),"Jiaxing Elegant Display Co., Ltd.",http___i01.i.aliimg.com_photo_v0_1876986565_customize_big_breast_mannequin.jpg,US $80-140 / Piece ( FOB Price),
