Orthopedic Medical Power Tools Twist Drill Bit,5,20,20,Pieces,400.0,http://www.alibaba.com/product-detail/Orthopedic-Medical-Power-Tools-Twist-Drill_654278809.html?s=p,China (Mainland),"Shanghai Ortho King Medical Device Co., Ltd.",http___i01.i.aliimg.com_photo_v5_654278809_Orthopedic_Medical_Power_Tools_Twist_Drill_Bit.jpg,US $5-20 / Piece ( FOB Price),
Embedding Center,1830,1833,1,Piece,1833.0,http://www.alibaba.com/product-detail/Embedding-Center_1769368332.html,China (Mainland),"Sainty International Group Jiangsu Yangzhou Sumex Imp. & Exp. Co., Ltd.",http___i00.i.aliimg.com_photo_v0_1769368332_Embedding_Center.jpg,US $1830-1833 / Set ( FOB Price),
High performance YSXJ-01 Medical Surgical oscillating saw,0,5000,1,Set,5000.0,http://www.alibaba.com/product-detail/High-performance-YSXJ-01-Medical-Surgical_937362143.html,China (Mainland),"Guangzhou Yueshen Import & Export Co., Ltd.",http___i01.i.aliimg.com_photo_v8_937362143_High_performance_YSXJ_01_Medical_Surgical_oscillating.jpg,US $0-5000 / Set ( FOB Price),
Surgical Power Swing saw,50,800,1,Piece,800.0,http://www.alibaba.com/product-detail/Surgical-Power-Swing-saw_1428051706.html,China (Mainland),"Guangzhou Huashan Medical Device Co., Ltd.",http___i00.i.aliimg.com_photo_v126_1428051706_1_Surgical_Power_Swing_saw.jpg,US $50-800 / Piece ( FOB Price),
"Drill Tools,Medical Instrument accessory",5,20,20,Pieces,400.0,http://www.alibaba.com/product-detail/Drill-Tools-Medical-Instrument-accessory_668319757.html,China (Mainland),"Shanghai Ortho King Medical Device Co., Ltd.",http___i01.i.aliimg.com_photo_v1_668319757_Drill_Tools_Medical_Instrument_accessory.jpg,US $5-20 / Piece ( FOB Price),
sternum saw/medical electric drill,500,1000,1,Set,1000.0,http://www.alibaba.com/product-detail/sternum-saw-medical-electric-drill_309479626.html,China (Mainland),"Jintan Huida Medical Equipment Co., Ltd.",http___i00.i.aliimg.com_photo_v7_309479626_sternum_saw_medical_electric_drill.jpg,US $500-1000 / Set ( FOB Price),
forearm arm sling,1,5,1000,Pieces,5000.0,http://www.alibaba.com/product-detail/forearm-arm-sling_271407480.html,China (Mainland),"Hengshui Tianjian Health Supplies Co., Ltd.",http___i00.i.aliimg.com_photo_v0_271407480_forearm_arm_sling.jpg,US $1-5 / Piece ( FOB Price),
Microtome,530,533,1,Piece,533.0,http://www.alibaba.com/product-detail/Microtome_1766505669.html,China (Mainland),"Sainty International Group Jiangsu Yangzhou Sumex Imp. & Exp. Co., Ltd.",http___i01.i.aliimg.com_photo_v1_1766505669_Microtome.jpg,US $530-533 / Set ( FOB Price),
Surgical Power Swing saw,50,1000,1,Piece,1000.0,http://www.alibaba.com/product-detail/Surgical-Power-Swing-saw_1250461470.html,China (Mainland),"Guangzhou Huashan Medical Device Co., Ltd.",http___i00.i.aliimg.com_photo_v132_1250461470_1_Surgical_Power_Swing_saw.jpg,US $50-1000 / Piece ( FOB Price),
High performance YSXJ-01 Surgical Oscillating Saw for medical orthopedic saw,0,5000,1,Set,5000.0,http://www.alibaba.com/product-detail/High-performance-YSXJ-01-Surgical-Oscillating_937396474.html,China (Mainland),"Guangzhou Yueshen Import & Export Co., Ltd.",http___i00.i.aliimg.com_photo_v8_937396474_High_performance_YSXJ_01_Surgical_Oscillating_Saw.jpg,US $0-5000 / Set ( FOB Price),
