"2014 high quality Sex toy ,Sex doll","0.8","1.5","1000","Pieces","1500.0","http://www.alibaba.com/product-detail/2014-high-quality-Sex-toy-Sex_1994015704.html?s=p","China (Mainland)","Shenzhen CJM Technology Co., Ltd.","http___i00.i.aliimg.com_photo_v0_1994015704_2014_high_quality_Sex_toy_Sex_doll.jpg"
"2014 Hight quality Silicone woman using dildo vibrator sex toy","7.99","9.99","10","Pieces","99.9","http://www.alibaba.com/product-detail/2014-Hight-quality-Silicone-woman-using_1292608261.html","China (Mainland)","Yiwu Xuanhong Import And Export Co., Ltd.","http___i01.i.aliimg.com_photo_v2_1292608261_2014_Hight_quality_Silicone_woman_using_dildo.jpg"
"2014 hot selling high quality vibrating adult sex toys for women","10","15","40","Pieces","600.0","http://www.alibaba.com/product-detail/2014-hot-selling-high-quality-vibrating_700153773.html","China (Mainland)","Shenzhen Vincent Plastic & Rubber Industrial Co., Ltd.","http___i01.i.aliimg.com_photo_v26_700153773_1_2014_hot_selling_high_quality_vibrating_adult.jpg"
"Natural Latex condom with different types durex quality","0.035","0.056","300000","Pieces","16800.0","http://www.alibaba.com/product-detail/Natural-Latex-condom-with-different-types_639274062.html","China (Mainland)","Guangzhou Aillx Rubber Product Co., Ltd.","http___i00.i.aliimg.com_photo_v1_639274062_Natural_Latex_condom_with_different_types_durex.jpg"
"2014 Hot sale good quality sex toy for men penis enlargement vacuum pump products factory price","4","8","10","Pieces","80.0","http://www.alibaba.com/product-detail/2014-Hot-sale-good-quality-sex_643672181.html","China (Mainland)","Shenzhen Mingbang Technology Co., Ltd.","http___i01.i.aliimg.com_photo_v4_643672181_2014_Hot_sale_good_quality_sex_toy.jpg"
"high quality G-SPOT sex vibrator, latest adult sex toys","3.2","6.9","1","Box","6.9","http://www.alibaba.com/product-detail/high-quality-G-SPOT-sex-vibrator_60011882839.html","China (Mainland)","Linyi Libo Health Care Products Co., Ltd.","http___i01.i.aliimg.com_photo_v1_60011882839_1_high_quality_G_SPOT_sex_vibrator_latest.jpg"
"Natural rubber latex condom with high quality and cheapest price","0.015","0.028","50000","Pieces","1400.0","http://www.alibaba.com/product-detail/Natural-rubber-latex-condom-with-high_1971320088.html","China (Mainland)","Yiwu Verna Gloves Co., Ltd.","http___i00.i.aliimg.com_photo_v15_1971320088_1_Natural_rubber_latex_condom_with_high_quality.jpg"
"high quality sexual men wipes","3","4","5000","Pieces","20000.0","http://www.alibaba.com/product-detail/high-quality-sexual-men-wipes_1555795534.html","China (Mainland)","Yantai Dupont Daily Necessities Co., Ltd.","http___i00.i.aliimg.com_photo_v4_1555795534_1_high_quality_sexual_men_wipes.jpg"
"good quality male condom from real manufacture","0.013","0.035","200000","Pieces","7000.000000000001","http://www.alibaba.com/product-detail/good-quality-male-condom-from-real_799377956.html","China (Mainland)","Hebei Baimei Latex Products Co., Ltd.","http___i00.i.aliimg.com_photo_v3_799377956_good_quality_male_condom_from_real_manufacture.jpg"
"DIAOSHI high quality female sex product with 10 modes DS004 G-spot sex vibrator","11.00","11.00","10","Pieces","110.0","http://www.alibaba.com/product-detail/DIAOSHI-high-quality-female-sex-product_60009602265.html","China (Mainland)","Dongguan Yuanfeng Adult Products Industry Co., Ltd.","http___i01.i.aliimg.com_photo_v0_60009602265_DIAOSHI_high_quality_female_sex_product_with.jpg"
